InstitutionId,InstitutionName,col_cat,Value,Period
25054,INVESTEC BANK LTD,A_operational,25018265.0,2008-01-01
25054,INVESTEC BANK LTD,B_notice_short,34190774.0,2008-01-01
25054,INVESTEC BANK LTD,C_savings,3644414.0,2008-01-01
25054,INVESTEC BANK LTD,D_term_wholesale,46293749.0,2008-01-01
333107,CAPITEC BANK,A_operational,11405.0,2008-01-01
333107,CAPITEC BANK,B_notice_short,154970.0,2008-01-01
333107,CAPITEC BANK,C_savings,792174.0,2008-01-01
333107,CAPITEC BANK,D_term_wholesale,533372.0,2008-01-01
34118,ABSA BANK LTD,A_operational,160965437.0,2008-01-01
34118,ABSA BANK LTD,B_notice_short,58512346.0,2008-01-01
34118,ABSA BANK LTD,C_savings,37107306.0,2008-01-01
34118,ABSA BANK LTD,D_term_wholesale,173556732.0,2008-01-01
416053,FIRSTRAND BANK LIMITED,A_operational,203586729.33,2008-01-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,54329914.48,2008-01-01
416053,FIRSTRAND BANK LIMITED,C_savings,1728164.86,2008-01-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,109145507.5,2008-01-01
416061,THE STANDARD BANK OF S A LTD,A_operational,186259643.0,2008-01-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,43665564.0,2008-01-01
416061,THE STANDARD BANK OF S A LTD,C_savings,32253554.0,2008-01-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,148557231.0,2008-01-01
416088,NEDBANK LTD,A_operational,161828806.0,2008-01-01
416088,NEDBANK LTD,B_notice_short,51937525.0,2008-01-01
416088,NEDBANK LTD,C_savings,8127110.0,2008-01-01
416088,NEDBANK LTD,D_term_wholesale,112956194.0,2008-01-01
TOTAL,*TOTAL*,A_operational,796124454.0699999,2008-01-01
TOTAL,*TOTAL*,B_notice_short,260586934.66,2008-01-01
TOTAL,*TOTAL*,C_savings,86125911.86,2008-01-01
TOTAL,*TOTAL*,D_term_wholesale,657757249.4,2008-01-01
