Period,KBP,Value
2008-01-01,KBP1485M,11.0
2008-02-01,KBP1485M,11.0
2008-03-01,KBP1485M,11.0
2008-04-01,KBP1485M,11.5
2008-05-01,KBP1485M,11.5
2008-06-01,KBP1485M,12.0
2008-07-01,KBP1485M,12.0
2008-08-01,KBP1485M,12.0
2008-09-01,KBP1485M,12.0
2008-10-01,KBP1485M,12.0
2008-11-01,KBP1485M,12.0
2008-12-01,KBP1485M,11.5
2009-01-01,KBP1485M,11.5
2009-02-01,KBP1485M,10.5
2009-03-01,KBP1485M,9.5
2009-04-01,KBP1485M,9.5
2009-05-01,KBP1485M,7.5
2009-06-01,KBP1485M,7.5
2009-07-01,KBP1485M,7.5
2009-08-01,KBP1485M,7.0
2009-09-01,KBP1485M,7.0
2009-10-01,KBP1485M,7.0
2009-11-01,KBP1485M,7.0
2009-12-01,KBP1485M,7.0
2010-01-01,KBP1485M,7.0
2010-02-01,KBP1485M,7.0
2010-03-01,KBP1485M,6.5
2010-04-01,KBP1485M,6.5
2010-05-01,KBP1485M,6.5
2010-06-01,KBP1485M,6.5
2010-07-01,KBP1485M,6.5
2010-08-01,KBP1485M,6.5
2010-09-01,KBP1485M,6.0
2010-10-01,KBP1485M,6.0
2010-11-01,KBP1485M,5.5
2010-12-01,KBP1485M,5.5
2011-01-01,KBP1485M,5.5
2011-02-01,KBP1485M,5.5
2011-03-01,KBP1485M,5.5
2011-04-01,KBP1485M,5.5
2011-05-01,KBP1485M,5.5
2011-06-01,KBP1485M,5.5
2011-07-01,KBP1485M,5.5
2011-08-01,KBP1485M,5.5
2011-09-01,KBP1485M,5.5
2011-10-01,KBP1485M,5.5
2011-11-01,KBP1485M,5.5
2011-12-01,KBP1485M,5.5
2012-01-01,KBP1485M,5.5
2012-02-01,KBP1485M,5.5
2012-03-01,KBP1485M,5.5
2012-04-01,KBP1485M,5.5
2012-05-01,KBP1485M,5.5
2012-06-01,KBP1485M,5.5
2012-07-01,KBP1485M,5.0
2012-08-01,KBP1485M,5.0
2012-09-01,KBP1485M,5.0
2012-10-01,KBP1485M,5.0
2012-11-01,KBP1485M,5.0
2012-12-01,KBP1485M,5.0
2013-01-01,KBP1600M,1.89
2013-01-01,KBP1601M,4.14
2013-01-01,KBP1602M,4.81
2013-01-01,KBP1603M,4.4
2013-01-01,KBP1604M,0.66
2013-01-01,KBP1605M,3.86
2013-01-01,KBP1606M,4.0
2013-01-01,KBP1607M,4.17
2013-01-01,KBP1608M,4.63
2013-01-01,KBP1609M,5.21
2013-01-01,KBP1610M,6.19
2013-01-01,KBP1611M,7.94
2013-01-01,KBP1612M,8.77
2013-01-01,KBP1613M,2.15
2013-01-01,KBP1614M,3.45
2013-01-01,KBP1615M,2.53
2013-01-01,KBP1616M,4.44
2013-01-01,KBP1617M,4.93
2013-01-01,KBP1618M,5.08
2013-01-01,KBP1619M,5.31
2013-01-01,KBP1620M,5.38
2013-01-01,KBP1621M,6.49
2013-01-01,KBP1622M,7.18
2013-01-01,KBP1623M,7.82
2013-01-01,KBP1624M,5.46
2013-01-01,KBP1625M,4.85
2013-01-01,KBP1485M,5.0
2013-02-01,KBP1600M,2.02
